Matrix Size,Poor Base Case,Proper Base Case,'Supposed' Cache Optimized,Poor OpenMP,Thrashing OpenMP,Correct OpenMP
2048,0.0454706,0.0127836,0.0193466,0.0034582,0.0118868,0.0651244,0.0027826
1024,0.009052,0.0023658,0.0033362,0.0007962,0.0014864,0.0313356,0.0006252
512,0.0014216,0.0006068,0.0008554,0.0002188,0.0003268,0.0162926,0.0001714
256,0.0002292,0.0001518,0.0002152,7.82e-05,0.0001306,0.0072156,6.54e-05
128,4.88e-05,3.9e-05,5.48e-05,4.48e-05,7.12e-05,0.0036868,3.5e-05
64,1.18e-05,1e-05,1.4e-05,2.74e-05,4.38e-05,0.001909,3e-05
32,2.79999e-06,2.60001e-06,4e-06,2.84e-05,3.62e-05,0.0009124,2.86e-05
